Frequency,Amplitude,Time,Note,Deviation,Adjusted_Corr_Freq,Adjusted_Rel_Freq,Scaled_Amplitude
0.0,0.038681384,0.0,C0,-16.35,0.0,0.0,0
10.7666015625,0.17298809,0.023219954648526,C0,-5.583398437500001,2.5966015624999983,0.9566015624999986,1
75.3662109375,0.34161997,0.0464399092970521,D2,1.9462109374999983,11.126210937499998,9.286210937499998,1
75.3662109375,0.4184406,0.0696598639455782,D2,1.9462109374999983,11.126210937499998,9.286210937499998,1
75.3662109375,0.40670726,0.0928798185941043,D2,1.9462109374999983,11.126210937499998,9.286210937499998,1
21.533203125,0.32809463,0.1160997732426303,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
21.533203125,0.30117294,0.1393197278911564,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
64.599609375,0.28640568,0.1625396825396825,C2,-0.8103906249999966,7.369609375000003,5.7296093750000034,1
21.533203125,0.24918166,0.1857596371882086,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
21.533203125,0.31232783,0.2089795918367347,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
21.533203125,0.21726562,0.2321995464852607,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
21.533203125,0.1647374,0.2554195011337868,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
75.3662109375,0.16870235,0.2786394557823129,D2,1.9462109374999983,11.126210937499998,9.286210937499998,1
75.3662109375,0.19508138,0.301859410430839,D2,1.9462109374999983,11.126210937499998,9.286210937499998,1
64.599609375,0.15548426,0.3250793650793651,C2,-0.8103906249999966,7.369609375000003,5.7296093750000034,1
64.599609375,0.21241617,0.3482993197278911,C2,-0.8103906249999966,7.369609375000003,5.7296093750000034,1
75.3662109375,0.2626796,0.3715192743764172,D2,1.9462109374999983,11.126210937499998,9.286210937499998,1
64.599609375,0.21091437,0.3947392290249433,C2,-0.8103906249999966,7.369609375000003,5.7296093750000034,1
64.599609375,0.21476778,0.4179591836734694,C2,-0.8103906249999966,7.369609375000003,5.7296093750000034,1
53.8330078125,0.2596059,0.4411791383219954,A1,-1.1669921875,12.5830078125,9.7430078125,1
10.7666015625,0.29866347,0.4643990929705215,C0,-5.583398437500001,2.5966015624999983,0.9566015624999986,1
64.599609375,0.30889055,0.4876190476190476,C2,-0.8103906249999966,7.369609375000003,5.7296093750000034,1
21.533203125,0.35836688,0.5108390022675737,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
21.533203125,0.33631092,0.5340589569160997,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
21.533203125,0.2680433,0.5572789115646258,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
75.3662109375,0.34804192,0.5804988662131519,D2,1.9462109374999983,11.126210937499998,9.286210937499998,1
21.533203125,0.42690822,0.603718820861678,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
21.533203125,0.6333142,0.626938775510204,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
21.533203125,0.6118976,0.6501587301587302,F0,-0.2967968749999983,10.613203125000002,8.363203125000002,1
1679.58984375,1.2308637,0.6733786848072563,G#6,18.369843749999973,15.674921874999987,7.167460937499993,2
1679.58984375,3.1250265,0.6965986394557823,G#6,18.369843749999973,15.674921874999987,7.167460937499993,5
1679.58984375,3.898793,0.7198185941043084,G#6,18.369843749999973,15.674921874999987,7.167460937499993,6
333.7646484375,3.570792,0.7430385487528345,E4,4.1346484375000045,14.434648437500005,12.314648437500004,5
333.7646484375,3.0701587,0.7662585034013606,E4,4.1346484375000045,14.434648437500005,12.314648437500004,5
1001.2939453125,2.9364822,0.7894784580498866,B5,13.523945312500018,14.476972656250009,12.886972656250009,4
398.3642578125,2.2462096,0.8126984126984127,G4,6.3642578125,9.30712890625,8.04212890625,3
409.130859375,3.1800272,0.8359183673469388,G#4,-6.169140625000011,6.810859374999989,4.130859374999989,5
409.130859375,5.1954865,0.8591383219954648,G#4,-6.169140625000011,6.810859374999989,4.130859374999989,8
398.3642578125,7.1056137,0.8823582766439909,G4,6.3642578125,9.30712890625,8.04212890625,11
409.130859375,4.1561475,0.905578231292517,G#4,-6.169140625000011,6.810859374999989,4.130859374999989,6
893.6279296875,6.0118675,0.9287981859410432,A5,13.6279296875,13.68896484375,12.26896484375,10
893.6279296875,7.100916,0.9520181405895692,A5,13.6279296875,13.68896484375,12.26896484375,11
441.4306640625,5.097694,0.9752380952380952,A4,1.4306640625,15.1806640625,12.3406640625,8
441.4306640625,5.471091,0.9984580498866212,A4,1.4306640625,15.1806640625,12.3406640625,9
333.7646484375,5.200436,1.0216780045351477,E4,4.1346484375000045,14.434648437500005,12.314648437500004,8
333.7646484375,5.85518,1.0448979591836736,E4,4.1346484375000045,14.434648437500005,12.314648437500004,9
344.53125,5.1041284,1.0681179138321997,F4,-4.698750000000018,6.211249999999982,3.961249999999982,8
333.7646484375,3.97261,1.0913378684807256,E4,4.1346484375000045,14.434648437500005,12.314648437500004,6
322.998046875,2.222766,1.1145578231292517,E4,-6.6319531249999955,3.6680468750000053,1.5480468750000043,3
409.130859375,3.5246644,1.1377777777777778,G#4,-6.169140625000011,6.810859374999989,4.130859374999989,5
441.4306640625,8.841287,1.160997732426304,A4,1.4306640625,15.1806640625,12.3406640625,14
452.197265625,13.627861,1.18421768707483,A4,12.197265625,12.9736328125,11.5536328125,22
452.197265625,16.293915,1.207437641723356,A4,12.197265625,12.9736328125,11.5536328125,27
452.197265625,16.804985,1.230657596371882,A4,12.197265625,12.9736328125,11.5536328125,28
