Frequency,Amplitude,Time,Note,Deviation,Adjusted_Corr_Freq,Adjusted_Rel_Freq,Scaled_Amplitude
0.0,7.795429e-05,0.0,C0,-16.35,0.0,0.0,0
0.0,0.00033040965,0.023219954648526,C0,-16.35,0.0,0.0,0
53.8330078125,0.00037173537,0.0464399092970521,A1,-1.1669921875,12.5830078125,9.7430078125,1
118.4326171875,0.0004058398,0.0696598639455782,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
118.4326171875,0.00049352617,0.0928798185941043,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
118.4326171875,0.00056108256,0.1160997732426303,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
118.4326171875,0.0004022386,0.1393197278911564,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
183.0322265625,0.00035548097,0.1625396825396825,F#3,-1.9677734375,9.5922265625,7.2122265625,1
64.599609375,0.00035111542,0.1857596371882086,C2,-0.8103906249999966,7.369609375000003,5.7296093750000034,1
118.4326171875,0.0004060275,0.2089795918367347,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
118.4326171875,0.00042456013,0.2321995464852607,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
0.0,0.0003512685,0.2554195011337868,C0,-16.35,0.0,0.0,0
118.4326171875,0.0003619819,0.2786394557823129,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
118.4326171875,0.0004616333,0.301859410430839,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
118.4326171875,0.00038544732,0.3250793650793651,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
129.19921875,0.00033639904,0.3482993197278911,C3,-1.6107812500000023,6.569218749999997,4.929218749999998,1
236.865234375,0.00031229318,0.3715192743764172,A#3,3.7852343749999875,9.177617187499994,7.672617187499994,1
236.865234375,0.0002991424,0.3947392290249433,A#3,3.7852343749999875,9.177617187499994,7.672617187499994,1
118.4326171875,0.0004353266,0.4179591836734694,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
118.4326171875,0.00053166284,0.4411791383219954,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
118.4326171875,0.00042761883,0.4643990929705215,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
9733.0078125,0.00038838552,0.4876190476190476,B8,1830.8778125,14.42427978515625,7.199718017578125,1
236.865234375,0.0004027569,0.5108390022675737,A#3,3.7852343749999875,9.177617187499994,7.672617187499994,1
247.6318359375,0.00045621098,0.5340589569160997,B3,0.6918359375000023,16.121835937500002,12.941835937500002,1
236.865234375,0.0005109326,0.5572789115646258,A#3,3.7852343749999875,9.177617187499994,7.672617187499994,1
236.865234375,0.00045273453,0.5804988662131519,A#3,3.7852343749999875,9.177617187499994,7.672617187499994,1
9894.5068359375,0.0003858607,0.603718820861678,B8,1992.3768359375,15.685990905761718,7.830573577880859,1
118.4326171875,0.0003940837,0.626938775510204,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
118.4326171875,0.00044591163,0.6501587301587302,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
10120.60546875,0.00038250268,0.6733786848072563,B8,2218.47546875,8.726193237304686,8.713771362304687,1
236.865234375,0.0004315106,0.6965986394557823,A#3,3.7852343749999875,9.177617187499994,7.672617187499994,1
118.4326171875,0.00052042084,0.7198185941043084,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
118.4326171875,0.0003573576,0.7430385487528345,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,1
355.2978515625,0.00033890994,0.7662585034013606,F4,6.067851562499982,8.488925781249991,7.363925781249991,1
7450.48828125,0.0003477673,0.7894784580498866,A#8,-8.13171874999989,6.438281250000109,3.4282812500001096,1
64.599609375,0.0004669339,0.8126984126984127,C2,-0.8103906249999966,7.369609375000003,5.7296093750000034,1
64.599609375,0.00033616516,0.8359183673469388,C2,-0.8103906249999966,7.369609375000003,5.7296093750000034,1
247.6318359375,0.00044940208,0.8591383219954648,B3,0.6918359375000023,16.121835937500002,12.941835937500002,1
236.865234375,0.0004499953,0.8823582766439909,A#3,3.7852343749999875,9.177617187499994,7.672617187499994,1
64.599609375,0.00037599387,0.905578231292517,C2,-0.8103906249999966,7.369609375000003,5.7296093750000034,1
796.728515625,0.0003593256,0.9287981859410432,G5,12.738515624999991,12.494257812499995,11.229257812499995,1
107.666015625,0.01879524,0.9520181405895692,A2,-2.333984375,11.416015625,8.576015625,1
183.0322265625,0.38487944,0.9752380952380952,F#3,-1.9677734375,9.5922265625,7.2122265625,1
1539.6240234375,1.4902006,0.9984580498866212,G6,-28.355976562500018,0.0,0.0,0
258.3984375,4.881398,1.0216780045351477,C4,-3.2315624999999955,4.948437500000004,3.3084375000000046,8
258.3984375,10.639826,1.0448979591836736,C4,-3.2315624999999955,4.948437500000004,3.3084375000000046,19
258.3984375,15.64943,1.0681179138321997,C4,-3.2315624999999955,4.948437500000004,3.3084375000000046,28
258.3984375,17.56351,1.0913378684807256,C4,-3.2315624999999955,4.948437500000004,3.3084375000000046,32
775.1953125,19.919048,1.1145578231292517,G5,-8.794687500000009,3.455312499999991,0.9253124999999915,36
775.1953125,19.936495,1.1377777777777778,G5,-8.794687500000009,3.455312499999991,0.9253124999999915,36
775.1953125,19.616709,1.160997732426304,G5,-8.794687500000009,3.455312499999991,0.9253124999999915,35
516.796875,19.240095,1.18421768707483,C5,-6.453125,1.7268749999999997,0.08687500000000004,35
516.796875,21.012362,1.207437641723356,C5,-6.453125,1.7268749999999997,0.08687500000000004,38
516.796875,23.21063,1.230657596371882,C5,-6.453125,1.7268749999999997,0.08687500000000004,42
516.796875,25.445187,1.253877551020408,C5,-6.453125,1.7268749999999997,0.08687500000000004,46
516.796875,27.077982,1.2770975056689342,C5,-6.453125,1.7268749999999997,0.08687500000000004,49
516.796875,26.15742,1.3003174603174603,C5,-6.453125,1.7268749999999997,0.08687500000000004,47
516.796875,22.08288,1.3235374149659864,C5,-6.453125,1.7268749999999997,0.08687500000000004,40
